,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z[87],0.01,0.01,0.0,0.028,0.0,0.0,503235.0,216009.0,1.0
z[88],0.01,0.01,0.0,0.028,0.0,0.0,507666.0,216987.0,1.0
z[89],0.01,0.01,0.0,0.028,0.0,0.0,511737.0,220256.0,1.0
z[90],0.01,0.01,0.0,0.028,0.0,0.0,511744.0,215158.0,1.0
z[91],0.01,0.01,0.0,0.028,0.0,0.0,499989.0,216766.0,1.0
z[92],0.01,0.01,0.0,0.028,0.0,0.0,518034.0,218684.0,1.0
z[93],0.01,0.01,0.0,0.028,0.0,0.0,503192.0,218368.0,1.0
z[94],0.01,0.01,0.0,0.028,0.0,0.0,501649.0,221064.0,1.0
z[95],0.01,0.01,0.0,0.028,0.0,0.0,518238.0,226293.0,1.0
z[96],0.01,0.01,0.0,0.028,0.0,0.0,519594.0,239989.0,1.0
z[97],0.01,0.01,0.0,0.028,0.0,0.0,525820.0,242046.0,1.0
z[98],0.01,0.01,0.0,0.028,0.0,0.0,547146.0,277185.0,1.0
z[99],0.01,0.01,0.0,0.028,0.0,0.0,547812.0,283035.0,1.0
s[0],-0.001,0.459,-0.851,0.882,0.001,0.001,651372.0,294973.0,1.0
s[1],-0.001,0.458,-0.872,0.855,0.001,0.001,660266.0,297355.0,1.0
s[2],-0.001,0.459,-0.869,0.862,0.001,0.001,663484.0,296635.0,1.0
s[3],-0.001,0.459,-0.871,0.862,0.001,0.001,668551.0,300012.0,1.0
s[4],-0.001,0.459,-0.871,0.863,0.001,0.001,659620.0,296706.0,1.0
s[5],-0.0,0.459,-0.861,0.872,0.001,0.001,656487.0,298854.0,1.0
s[6],-0.0,0.459,-0.865,0.865,0.001,0.001,655264.0,297007.0,1.0
s[7],-0.0,0.46,-0.857,0.874,0.001,0.001,661838.0,297376.0,1.0
s[8],-0.001,0.459,-0.876,0.853,0.001,0.001,662183.0,297062.0,1.0
s[9],-0.0,0.46,-0.873,0.862,0.001,0.001,658514.0,294636.0,1.0
s[10],-0.001,0.459,-0.869,0.862,0.001,0.001,658422.0,298412.0,1.0
s[11],-0.001,0.46,-0.869,0.862,0.001,0.001,660579.0,297325.0,1.0
s[12],-0.0,0.46,-0.861,0.869,0.001,0.001,662192.0,296173.0,1.0
s[13],-0.001,0.459,-0.852,0.878,0.001,0.001,650937.0,296772.0,1.0
s[14],-0.001,0.461,-0.866,0.871,0.001,0.001,665171.0,293478.0,1.0
s[15],-0.001,0.46,-0.872,0.864,0.001,0.001,652254.0,294800.0,1.0
s[16],0.0,0.459,-0.865,0.868,0.001,0.001,664503.0,300739.0,1.0
s[17],-0.001,0.46,-0.872,0.86,0.001,0.001,662062.0,298253.0,1.0
s[18],-0.0,0.459,-0.87,0.857,0.001,0.001,658728.0,298421.0,1.0
s[19],-0.0,0.46,-0.874,0.862,0.001,0.001,667010.0,295390.0,1.0
s[20],-0.001,0.459,-0.856,0.871,0.001,0.001,663951.0,294781.0,1.0
s[21],-0.0,0.461,-0.869,0.873,0.001,0.001,651667.0,292770.0,1.0
s[22],-0.001,0.46,-0.869,0.867,0.001,0.001,662793.0,296459.0,1.0
s[23],-0.001,0.459,-0.867,0.859,0.001,0.001,647023.0,297456.0,1.0
s[24],0.0,0.459,-0.857,0.871,0.001,0.001,656509.0,297047.0,1.0
s[25],0.0,0.459,-0.857,0.875,0.001,0.001,657255.0,293331.0,1.0
s[26],-0.001,0.46,-0.873,0.862,0.001,0.001,659450.0,295910.0,1.0
s[27],-0.001,0.461,-0.862,0.875,0.001,0.001,658524.0,297449.0,1.0
s[28],0.0,0.459,-0.85,0.879,0.001,0.001,661501.0,291288.0,1.0
s[29],-0.001,0.459,-0.866,0.863,0.001,0.001,657885.0,292405.0,1.0
s[30],-0.0,0.46,-0.875,0.864,0.001,0.001,660314.0,297332.0,1.0
s[31],-0.001,0.46,-0.87,0.863,0.001,0.001,668381.0,297859.0,1.0
s[32],-0.001,0.46,-0.873,0.862,0.001,0.001,672076.0,296037.0,1.0
s[33],0.0,0.46,-0.868,0.867,0.001,0.001,670423.0,297850.0,1.0
s[34],-0.001,0.459,-0.872,0.859,0.001,0.001,660278.0,297609.0,1.0
s[35],-0.001,0.46,-0.862,0.871,0.001,0.001,665966.0,294610.0,1.0
s[36],-0.001,0.459,-0.86,0.867,0.001,0.001,661934.0,296579.0,1.0
s[37],-0.0,0.459,-0.867,0.866,0.001,0.001,660342.0,296823.0,1.0
s[38],-0.0,0.459,-0.863,0.865,0.001,0.001,665514.0,291879.0,1.0
s[39],-0.001,0.46,-0.869,0.863,0.001,0.001,657486.0,293058.0,1.0
s[40],-0.0,0.459,-0.882,0.851,0.001,0.001,655148.0,295426.0,1.0
s[41],-0.001,0.459,-0.861,0.871,0.001,0.001,658389.0,296541.0,1.0
s[42],0.0,0.46,-0.855,0.88,0.001,0.001,662012.0,296499.0,1.0
s[43],0.0,0.459,-0.874,0.855,0.001,0.001,662064.0,297797.0,1.0
s[44],-0.001,0.459,-0.867,0.863,0.001,0.001,657231.0,295558.0,1.0
s[45],-0.0,0.459,-0.868,0.863,0.001,0.001,659995.0,297297.0,1.0
s[46],-0.0,0.459,-0.868,0.858,0.001,0.001,651294.0,295684.0,1.0
s[47],0.0,0.461,-0.868,0.869,0.001,0.001,666452.0,295211.0,1.0
s[48],0.0,0.459,-0.869,0.864,0.001,0.001,662404.0,293789.0,1.0
s[49],-0.001,0.459,-0.871,0.86,0.001,0.001,656807.0,290330.0,1.0
s[50],-0.0,0.459,-0.847,0.881,0.001,0.001,664980.0,300069.0,1.0
s[51],-0.001,0.46,-0.865,0.867,0.001,0.001,658623.0,294615.0,1.0
s[52],-0.001,0.46,-0.859,0.876,0.001,0.001,660744.0,295929.0,1.0
s[53],-0.001,0.459,-0.861,0.867,0.001,0.001,657955.0,295602.0,1.0
s[54],-0.001,0.459,-0.862,0.863,0.001,0.001,655256.0,294837.0,1.0
s[55],0.0,0.46,-0.859,0.874,0.001,0.001,658059.0,297302.0,1.0
s[56],-0.0,0.459,-0.884,0.849,0.001,0.001,668055.0,299031.0,1.0
s[57],-0.0,0.459,-0.86,0.869,0.001,0.001,660478.0,294663.0,1.0
s[58],-0.001,0.459,-0.864,0.869,0.001,0.001,656882.0,294718.0,1.0
s[59],-0.001,0.46,-0.875,0.861,0.001,0.001,663097.0,295789.0,1.0
s[60],-0.0,0.458,-0.869,0.857,0.001,0.001,664546.0,299941.0,1.0
s[61],-0.001,0.46,-0.865,0.865,0.001,0.001,662125.0,296877.0,1.0
s[62],-0.001,0.459,-0.864,0.87,0.001,0.001,654081.0,296705.0,1.0
s[63],-0.001,0.46,-0.87,0.862,0.001,0.001,665951.0,300126.0,1.0
s[64],-0.0,0.46,-0.87,0.865,0.001,0.001,656963.0,294947.0,1.0
s[65],-0.001,0.46,-0.865,0.869,0.001,0.001,664038.0,295752.0,1.0
s[66],-0.0,0.459,-0.859,0.876,0.001,0.001,650079.0,294210.0,1.0
s[67],-0.001,0.46,-0.856,0.876,0.001,0.001,660493.0,297377.0,1.0
s[68],-0.0,0.459,-0.866,0.866,0.001,0.001,650940.0,294450.0,1.0
s[69],0.0,0.457,-0.859,0.865,0.001,0.001,666242.0,294919.0,1.0
s[70],-0.0,0.459,-0.868,0.866,0.001,0.001,667912.0,293923.0,1.0
s[71],-0.001,0.459,-0.869,0.863,0.001,0.001,667753.0,295251.0,1.0
s[72],-0.0,0.459,-0.862,0.869,0.001,0.001,648771.0,297710.0,1.0
s[73],-0.0,0.459,-0.867,0.864,0.001,0.001,662924.0,297182.0,1.0
s[74],0.0,0.459,-0.867,0.86,0.001,0.001,660171.0,296296.0,1.0
s[75],-0.0,0.459,-0.867,0.86,0.001,0.001,663018.0,298403.0,1.0
s[76],0.0,0.46,-0.883,0.852,0.001,0.001,656217.0,293203.0,1.0
s[77],-0.0,0.46,-0.866,0.864,0.001,0.001,660301.0,293700.0,1.0
s[78],-0.001,0.46,-0.866,0.867,0.001,0.001,662600.0,291887.0,1.0
s[79],-0.001,0.459,-0.867,0.861,0.001,0.001,659760.0,297430.0,1.0
s[80],-0.001,0.46,-0.866,0.868,0.001,0.001,664542.0,297212.0,1.0
s[81],-0.001,0.46,-0.87,0.863,0.001,0.001,661897.0,294437.0,1.0
s[82],-0.0,0.46,-0.872,0.86,0.001,0.001,658709.0,294868.0,1.0
s[83],-0.0,0.46,-0.862,0.873,0.001,0.001,660278.0,296530.0,1.0
s[84],-0.0,0.459,-0.861,0.866,0.001,0.001,665645.0,295750.0,1.0
s[85],-0.0,0.46,-0.862,0.873,0.001,0.001,649097.0,296745.0,1.0
s[86],0.0,0.46,-0.874,0.86,0.001,0.001,664743.0,295296.0,1.0
s[87],-0.0,0.459,-0.855,0.874,0.001,0.001,661950.0,293592.0,1.0
s[88],0.0,0.459,-0.859,0.871,0.001,0.001,664486.0,295733.0,1.0
s[89],-0.001,0.46,-0.862,0.872,0.001,0.001,656556.0,295524.0,1.0
s[90],-0.0,0.46,-0.859,0.875,0.001,0.001,655003.0,298867.0,1.0
s[91],-0.001,0.46,-0.868,0.863,0.001,0.001,660929.0,294239.0,1.0
s[92],-0.0,0.46,-0.867,0.865,0.001,0.001,661959.0,293447.0,1.0
