'target_keyword', 'transform', 'seed', 'time'
dirsym_e-1_10dims,Stickbreaking,7,5.220773696899414
dirsym_1_100dims,ProbitProduct,11,3.7029078006744385
dirsym_1_10dims,StanStickbreaking,9,4.874433517456055
dirsym_1_100dims,StanStickbreaking,4,8.866846799850464
dirsym_1_10dims,ALR,8,4.957125902175903
dirsym_e-1_10dims,ALR,8,5.295130491256714
dirsym_e-1_10dims,NormalizedExponential,7,5.534497261047363
dirsym_1_10dims,AugmentedSoftmax,8,4.967172622680664
dirsym_1_100dims,Stickbreaking,3,10.551643133163452
dirsym_e-1_10dims,StanStickbreaking,9,5.1334388256073
dirsym_1_10dims,HypersphericalProbit,8,5.063732385635376
dirsym_e-1_100dims,HypersphericalProbit,3,11.381492137908936
dirsym_1_10dims,HypersphericalAngular,8,5.004545450210571
dirsym_e-1_100dims,ProbitProduct,3,11.997255325317383
dirsym_1_100dims,AugmentedSoftmax,15,2.8127996921539307
dirsym_1_10dims,NormalizedExponential,8,5.022443532943726
dirsym_1_10dims,AugmentedILR,8,4.887003183364868
dirsym_1_100dims,HypersphericalProbit,9,4.260247468948364
dirsym_1_10dims,ProbitProduct,9,4.831756114959717
dirsym_1_100dims,ALR,5,7.572443962097168
dirsym_e-1_10dims,HypersphericalAngular,8,5.234252691268921
dirsym_1_100dims,ProbitProduct,12,3.663621187210083
dirsym_e-1_10dims,HypersphericalLogit,8,5.407312870025635
dirsym_1_100dims,HypersphericalAngular,3,11.624571084976196
dirsym_1_10dims,Stickbreaking,8,5.0359625816345215
dirsym_e-1_10dims,ProbitProduct,10,5.096824645996094
dirsym_e-1_10dims,HypersphericalProbit,9,4.9912402629852295
dirsym_1_10dims,HypersphericalLogit,9,5.013615846633911
dirsym_e-1_10dims,AugmentedSoftmax,8,5.331461429595947
dirsym_e-1_10dims,AugmentedILR,8,5.318016052246094
dirsym_e-1_10dims,Stickbreaking,8,5.205832004547119
dirsym_1_10dims,StanStickbreaking,10,4.656761169433594
dirsym_1_100dims,AugmentedSoftmax,16,2.8502790927886963
dirsym_1_10dims,ALR,9,4.766355514526367
dirsym_1_100dims,AugmentedILR,4,9.324246644973755
dirsym_1_10dims,AugmentedSoftmax,9,4.776456356048584
dirsym_e-1_10dims,ALR,9,5.140462875366211
dirsym_e-1_10dims,NormalizedExponential,8,5.414890766143799
dirsym_1_10dims,HypersphericalProbit,9,4.821982383728027
dirsym_e-1_10dims,StanStickbreaking,10,5.015245676040649
dirsym_1_10dims,HypersphericalAngular,9,4.902596473693848
dirsym_e-1_100dims,NormalizedExponential,3,12.695818185806274
dirsym_1_100dims,ProbitProduct,13,3.756761312484741
dirsym_1_10dims,NormalizedExponential,9,4.950870990753174
dirsym_1_100dims,HypersphericalProbit,10,4.656993627548218
dirsym_1_100dims,NormalizedExponential,4,9.746397733688354
dirsym_1_10dims,AugmentedILR,9,4.841141223907471
dirsym_1_10dims,ProbitProduct,10,4.76253604888916
dirsym_1_100dims,AugmentedSoftmax,17,2.8653130531311035
dirsym_e-1_10dims,HypersphericalAngular,9,5.107877254486084
dirsym_1_10dims,Stickbreaking,9,4.913032293319702
dirsym_e-1_10dims,HypersphericalLogit,9,5.210533618927002
dirsym_e-1_10dims,ProbitProduct,11,5.074920177459717
dirsym_1_10dims,HypersphericalLogit,10,4.98711633682251
dirsym_e-1_10dims,HypersphericalProbit,10,5.0369789600372314
dirsym_1_100dims,StanStickbreaking,5,8.997913122177124
dirsym_e-1_10dims,AugmentedSoftmax,9,5.3607048988342285
dirsym_1_100dims,HypersphericalLogit,4,10.783553123474121
dirsym_e-1_10dims,AugmentedILR,9,5.329602956771851
dirsym_1_10dims,StanStickbreaking,11,4.925664901733398
dirsym_e-1_100dims,HypersphericalAngular,1,26.877421855926514
dirsym_e-1_10dims,Stickbreaking,9,5.3365843296051025
dirsym_e-1_100dims,HypersphericalLogit,2,17.97625231742859
dirsym_1_10dims,ALR,10,4.976578235626221
dirsym_1_10dims,AugmentedSoftmax,10,5.106694221496582
